cloneId	symbol	pDNA.p0.10025	pDNA.p0.10025_10056	pDNA.p0.110625	pDNA.p0.110709	pDNA.p0.110709_10056	pDNA.p0.54_10051	HPAFII_PANCREAS.p5.A	HPAFII_PANCREAS.p5.B	HPAFII_PANCREAS.p5.C	HPAFII_PANCREAS.p5.D
TRCN0000000708	RIPK1	17	18	13	16	14	18	71	34	83	62
TRCN0000000759	PLK3	12	13	19	13	13	12	11	7	8	3
TRCN0000000760	PLK3	15	13	22	16	14	16	14	17	5	10
TRCN0000000767	DGKB	11	11	9	11	10	10	4	1	12	2
TRCN0000000773	FLT3	28	30	23	29	29	30	18	8	21	9
TRCN0000000781	STK17B	50	51	52	57	53	50	89	207	168	123
TRCN0000000809	CSNK1G3	16	11	3	3	12	20	7	5	9	19
TRCN0000000810	CSNK1G3	13	13	20	15	15	13	3	1	3	3
TRCN0000000856	CDC42BPB	8	9	9	9	9	8	2	3	3	2
TRCN0000000868	PLK2	11	11	9	13	12	12	75	5	39	15
TRCN0000000875	IRAK3	11	10	8	10	10	10	15	10	2	14
TRCN0000000881	LATS2	8	9	10	10	8	10	12	14	2	5
TRCN0000000936	MYLK	9	9	5	9	8	10	8	1	1	9
TRCN0000000941	SRMS	10	13	11	9	10	10	9	6	13	33
TRCN0000000957	ROS1	14	15	11	12	14	14	10	31	8	9
TRCN0000001012	MAPK9	18	18	15	23	21	22	7	3	5	5
TRCN0000000576	AXL	19	21	22	23	22	23	5	9	12	12
TRCN0000001052	BCL2L11	7	7	8	9	8	8	11	6	6	8
TRCN0000001057	MAPK8	13	14	8	15	13	17	3	4	1	2
TRCN0000001064	RAF1	16	16	17	19	16	22	10	3	4	2
TRCN0000001069	SF1	12	13	10	15	14	14	4	1	2	12
TRCN0000001081	SFPQ	10	10	18	11	10	10	18	12	44	73
TRCN0000001084	SFPQ	10	10	13	12	12	12	2	17	3	2
TRCN0000001100	FKBP8	25	26	24	29	27	20	3	68	9	6
TRCN0000001103	FKBP8	11	12	15	11	11	10	2	2	1	2
TRCN0000001110	PTBP2	15	16	15	17	17	15	9	5	3	6
TRCN0000001111	PTBP2	18	18	18	18	18	17	12	21	6	5
TRCN0000001129	DDX5	15	15	11	14	13	14	23	21	48	17
TRCN0000001139	SMNDC1	8	5	15	13	7	12	13	66	3	4
TRCN0000001150	USP39	15	15	16	19	16	15	1	1	1	1
TRCN0000001167	PPARGC1A	12	12	11	11	10	10	17	14	8	64
TRCN0000001179	DDX46	18	17	14	20	20	20	2	2	2	2
TRCN0000001186	CDC40	22	23	29	27	25	23	16	6	3	10
TRCN0000001239	HNRNPR	22	21	15	20	20	20	56	239	39	22
TRCN0000001255	TCEA1	12	10	13	15	12	12	15	8	15	16
TRCN0000001263	INTS6	18	18	15	20	18	18	9	15	10	23
TRCN0000001284	ELP4	15	16	13	18	18	17	1	1	2	1
TRCN0000001286	ELP4	14	14	18	15	13	13	5	3	2	13
TRCN0000001297	HNRNPU	20	19	17	21	20	24	31	11	17	5
TRCN0000001306	THOC3	11	11	19	13	11	12	2	7	2	11
TRCN0000001320	INPP4A	7	7	6	7	8	8	3	1	1	12
TRCN0000000662	CDC42BPA	36	38	38	43	42	43	41	61	61	48
TRCN0000001335	MORC3	28	29	33	34	30	26	58	24	24	13
TRCN0000001349	EPHA8	19	21	24	20	24	22	14	20	12	26
TRCN0000001354	MAPK7	21	21	23	21	20	20	62	114	48	29
TRCN0000001357	DGKH	12	12	9	6	13	16	3	1	1	1
TRCN0000001360	DGKH	18	19	27	20	21	20	7	2	1	2
TRCN0000001363	SIK1	15	15	14	13	14	14	14	25	20	15
TRCN0000001379	EIF2AK2	15	15	17	14	12	15	50	25	17	6
TRCN0000001382	EIF2AK2	16	15	13	15	15	18	20	11	19	24
TRCN0000001392	MAP2K4	19	20	18	20	19	18	63	14	4	17
TRCN0000001404	RASAL2	13	11	13	13	10	14	39	51	24	22
TRCN0000001426	PDGFRA	11	11	10	11	11	11	4	9	3	8
TRCN0000001431	TRAD	11	10	18	11	10	10	4	2	1	3
TRCN0000001460	DAB2IP	9	9	10	3	10	11	3	5	3	3
TRCN0000001480	PDPK1	11	12	9	11	10	10	2	4	5	1
TRCN0000001484	PKN1	7	8	9	8	7	7	25	3	4	47
TRCN0000001494	RPS6KA5	19	19	15	17	17	17	11	30	20	17
TRCN0000001517	SGK3	16	14	16	20	17	20	15	11	13	10
TRCN0000001522	MYOF	19	22	22	24	22	22	1	3	2	1
TRCN0000001538	TRIB1	15	17	17	19	17	15	93	62	20	34
TRCN0000001558	MAP3K7	16	14	10	12	12	15	12	9	6	1
TRCN0000001590	CSF1R	17	16	20	20	18	20	13	19	12	9
TRCN0000001612	AKT3	20	22	19	24	24	25	4	6	4	1
TRCN0000001624	STK4	19	19	14	20	19	19	99	21	22	801
TRCN0000001637	RASA3	19	20	25	19	19	20	5	7	2	5
TRCN0000001642	MELK	4	5	4	3	3	4	5	4	5	4
TRCN0000001643	MELK	16	17	13	16	16	17	27	13	7	12
TRCN0000004705	GLP1R	10	10	6	9	8	10	2	7	9	22
TRCN0000004728	FFAR1	11	13	12	13	13	13	9	1	1	1
TRCN0000004741	LGR4	18	18	15	18	17	19	32	42	77	27
TRCN0000004784	RNF40	37	40	54	48	47	46	59	38	97	61
TRCN0000004816	HDAC1	15	13	18	18	17	17	7	18	6	9
TRCN0000004839	HDAC6	12	13	6	12	12	12	13	10	7	7
TRCN0000004929	C6orf218	13	14	11	13	13	13	3	4	1	4
TRCN0000004930	C6orf218	12	12	12	13	12	13	6	13	14	21
TRCN0000004931	C6orf218	6	6	6	5	5	6	29	7	1	4
TRCN0000004943	TMEM14C	16	17	17	17	16	19	5	12	7	1
TRCN0000004953	GCM2	12	13	7	11	12	15	16	18	11	24
TRCN0000005000	RPL6	24	25	20	26	21	26	32	4	2	3
TRCN0000005001	RPL6	17	18	21	20	20	19	1	2	1	1
TRCN0000005006	PTPN11	21	23	27	25	24	25	5	9	2	6
TRCN0000005028	RASAL1	7	6	6	4	6	9	5	4	1	2
TRCN0000005091	RNFT2	28	30	27	28	24	23	38	51	49	79
TRCN0000005105	SPATA8	15	16	12	13	15	17	3	3	3	13
TRCN0000005110	ARRDC4	29	31	30	31	28	29	102	129	46	52
TRCN0000005118	MGC18216	14	13	15	15	14	14	9	5	4	7
TRCN0000005133	MEF2A	15	18	13	17	18	19	4	9	3	15
TRCN0000005141	SPCS2	26	28	31	32	29	31	25	44	27	37
TRCN0000005150	OR2AT4	16	15	14	15	18	15	10	15	8	35
TRCN0000005160	ARRB1	10	9	9	8	8	9	8	8	30	5
TRCN0000005165	RPS3	14	14	17	13	14	15	2	1	1	2
TRCN0000005168	RPS3	5	6	11	8	8	7	1	1	1	1
TRCN0000005182	MAP6	13	13	10	12	13	12	1	1	3	1
TRCN0000005185	MOGAT2	21	21	22	19	20	22	54	55	14	44
TRCN0000005191	MGAT2	22	23	20	23	23	23	6	2	2	7
TRCN0000005198	UVRAG	27	29	27	31	29	30	19	5	12	14
TRCN0000005209	PRKRIR	19	19	20	19	18	20	17	30	149	28
