cloneId	geneSymbol	T0_A	T0_B	T0_C	T16_A	T16_B	T16_C
TRCN0000045258	CDK5R2	26	27	30	12	5	5
TRCN0000045259	CDK5R2	12	10	13	9	7	14
TRCN0000045260	CDK5R2	16	14	31	53	68	135
TRCN0000045261	CDK5R2	10	9	14	4	9	8
TRCN0000045262	CDK5R2	6	6	6	4	1	3
TRCN0000035860	CDS2	14	15	12	33	43	41
TRCN0000035861	CDS2	9	9	12	6	4	2
TRCN0000035862	CDS2	4	4	3	1	9	3
TRCN0000035863	CDS2	15	15	9	16	47	52
TRCN0000062298	CEACAM6	15	15	14	41	43	40
TRCN0000062299	CEACAM6	23	24	16	1	20	1
TRCN0000062300	CEACAM6	18	17	22	27	6	11
TRCN0000062301	CEACAM6	22	22	21	22	24	11
TRCN0000062302	CEACAM6	14	11	18	6	1	2
TRCN0000034604	CHPF2	15	14	19	29	20	38
TRCN0000034608	CHPF2	22	21	32	1	1	13
TRCN0000061133	CHRNA5	15	15	18	64	25	38
TRCN0000061134	CHRNA5	12	12	9	3	1	3
TRCN0000061135	CHRNA5	15	16	13	2	3	7
TRCN0000061136	CHRNA5	18	18	16	36	51	41
TRCN0000036334	CHST13	6	6	17	1	10	1
TRCN0000036335	CHST13	6	7	7	12	73	45
TRCN0000036338	CHST13	5	5	5	5	5	1
TRCN0000044968	CLCN4	10	5	10	25	36	23
TRCN0000044969	CLCN4	4	4	5	1	1	2
TRCN0000044970	CLCN4	10	9	5	8	19	8
TRCN0000044971	CLCN4	13	12	28	15	13	34
TRCN0000044972	CLCN4	8	8	5	8	7	1
TRCN0000018974	CLOCK	10	10	10	5	8	27
TRCN0000018975	CLOCK	12	12	11	12	7	13
TRCN0000018976	CLOCK	15	13	18	16	4	35
TRCN0000018977	CLOCK	6	3	17	6	14	9
TRCN0000018978	CLOCK	14	12	16	6	3	5
TRCN0000006440	CMPK1	8	11	8	3	1	11
TRCN0000006441	CMPK1	10	11	8	24	5	2
TRCN0000006442	CMPK1	8	10	10	13	7	20
TRCN0000006443	CMPK1	20	19	29	22	5	13
TRCN0000013408	CNOT8	22	23	15	4	5	7
TRCN0000013409	CNOT8	18	18	14	25	18	13
TRCN0000013410	CNOT8	12	12	14	34	14	23
TRCN0000013412	CNOT8	14	14	12	7	12	1
TRCN0000083068	COL11A2	23	24	25	25	15	10
TRCN0000083069	COL11A2	27	26	22	1	1	1
TRCN0000083070	COL11A2	23	25	19	22	78	77
TRCN0000083071	COL11A2	21	19	22	10	8	5
TRCN0000083072	COL11A2	4	5	3	1	1	1
TRCN0000116557	COL14A1	12	11	12	2	1	5
TRCN0000116558	COL14A1	8	9	6	23	12	9
TRCN0000116559	COL14A1	19	19	17	10	39	14
TRCN0000116560	COL14A1	11	11	10	1	1	2
TRCN0000116561	COL14A1	12	12	14	1	1	1
TRCN0000003622	COL6A3	20	20	21	26	18	40
TRCN0000003623	COL6A3	21	20	30	9	5	11
TRCN0000003624	COL6A3	7	3	23	1	1	3
TRCN0000003625	COL6A3	24	25	31	48	30	29
TRCN0000003626	COL6A3	14	15	23	5	7	3
TRCN0000003568	COL7A1	11	12	9	2	39	2
TRCN0000003569	COL7A1	11	10	9	2	1	5
TRCN0000003570	COL7A1	11	12	18	1	1	1
TRCN0000003571	COL7A1	15	18	23	52	14	63
TRCN0000046288	COX4I1	111	110	162	89	19	30
TRCN0000046289	COX4I1	70	39	94	2	6	1
TRCN0000046290	COX4I1	115	120	91	151	102	83
TRCN0000046291	COX4I1	94	92	114	65	71	119
TRCN0000046292	COX4I1	56	51	62	196	216	390
TRCN0000046838	CPA2	6	5	7	2	2	13
TRCN0000046840	CPA2	11	13	9	13	31	22
TRCN0000046841	CPA2	11	10	4	16	46	99
TRCN0000046988	CPA4	12	14	25	2	1	2
TRCN0000046989	CPA4	26	25	28	3	1	3
TRCN0000046990	CPA4	23	27	28	31	11	17
TRCN0000046991	CPA4	30	31	23	6	29	49
TRCN0000046992	CPA4	15	15	21	2	18	2
TRCN0000035354	CPT1C	35	37	40	3	3	2
TRCN0000035355	CPT1C	15	16	18	4	3	5
TRCN0000035356	CPT1C	9	10	9	6	2	14
TRCN0000035357	CPT1C	9	7	15	1	1	1
TRCN0000056128	CRB2	14	9	17	6	8	13
TRCN0000056129	CRB2	6	4	11	12	6	12
TRCN0000013728	CRX	30	30	20	9	24	16
TRCN0000013729	CRX	22	24	22	11	31	16
TRCN0000013731	CRX	17	19	20	2	1	4
TRCN0000013732	CRX	16	16	23	2	2	6
TRCN0000006750	CST4	12	10	9	8	11	31
TRCN0000006751	CST4	16	19	27	7	13	6
TRCN0000006752	CST4	16	16	12	55	18	50
TRCN0000006753	CST4	23	22	26	10	8	15
TRCN0000013738	CTBP1	30	30	31	2	2	2
TRCN0000013739	CTBP1	35	33	36	89	39	24
TRCN0000013740	CTBP1	11	6	10	7	35	13
TRCN0000013741	CTBP1	12	12	16	46	25	30
TRCN0000013742	CTBP1	13	12	14	4	3	2
TRCN0000019179	CTCFL	17	17	14	15	5	14
TRCN0000019180	CTCFL	10	11	7	8	1	7
TRCN0000019181	CTCFL	12	14	11	4	3	2
TRCN0000019182	CTCFL	25	25	25	8	19	1
TRCN0000019183	CTCFL	21	22	22	1	1	1
TRCN0000003646	CTSZ	20	19	22	1	1	1
TRCN0000003647	CTSZ	10	8	6	1	1	4
TRCN0000003648	CTSZ	17	16	13	3	10	4
TRCN0000003649	CTSZ	7	5	5	3	20	48
TRCN0000064273	CYP11A1	30	29	24	16	9	33
TRCN0000064274	CYP11A1	10	10	11	8	1	3
TRCN0000064275	CYP11A1	40	39	46	23	11	16
TRCN0000064276	CYP11A1	21	21	23	1	1	1
TRCN0000064277	CYP11A1	5	5	4	8	2	7
TRCN0000020809	DACH2	10	10	12	1	3	1
TRCN0000020810	DACH2	7	8	10	2	4	3
TRCN0000020811	DACH2	4	4	4	2	1	1
TRCN0000020813	DACH2	18	22	17	37	26	23
TRCN0000021009	DCP1A	38	34	25	24	12	5
TRCN0000021010	DCP1A	14	16	9	22	9	25
TRCN0000021011	DCP1A	26	25	49	17	41	37
TRCN0000021012	DCP1A	25	30	25	4	5	7
TRCN0000001417	DDR2	12	12	7	74	8	4
TRCN0000001418	DDR2	10	11	9	5	6	19
TRCN0000001419	DDR2	15	14	12	18	12	27
TRCN0000001421	DDR2	6	5	5	1	1	1
TRCN0000051128	DDX19B	30	30	44	2	7	2
TRCN0000051129	DDX19B	19	20	21	3	3	21
TRCN0000051130	DDX19B	35	38	37	51	57	40
TRCN0000051131	DDX19B	16	15	17	1	1	6
TRCN0000051132	DDX19B	24	21	18	1	2	1
TRCN0000001267	DDX41	15	16	12	17	20	35
TRCN0000001268	DDX41	15	15	23	1	1	1
TRCN0000001269	DDX41	12	12	16	37	4	2
TRCN0000001270	DDX41	14	15	23	8	38	9
TRCN0000001271	DDX41	9	10	10	11	24	4
TRCN0000049953	DDX54	14	16	17	19	19	46
TRCN0000049954	DDX54	19	17	17	1	1	1
TRCN0000049955	DDX54	38	38	37	4	6	13
TRCN0000049956	DDX54	13	13	12	1	1	1
TRCN0000056763	DEFA6	8	7	11	1	1	1
TRCN0000056764	DEFA6	5	4	6	1	8	3
TRCN0000056765	DEFA6	5	6	6	2	5	7
TRCN0000056766	DEFA6	9	11	6	17	16	9
TRCN0000056767	DEFA6	14	14	11	1	2	1
TRCN0000003701	DFFA	9	9	9	2	4	2
TRCN0000003702	DFFA	11	12	14	3	2	4
TRCN0000003703	DFFA	14	14	18	4	5	1
TRCN0000003704	DFFA	12	12	15	24	9	17
TRCN0000003705	DFFB	15	12	28	34	29	32
TRCN0000003706	DFFB	17	18	26	2	2	7
